"Path","SizeMB","FileCount","LastModified"
"C:\Users\nolan\PING\.venv\Lib\site-packages\__pycache__","0.17","2","6/24/2026 10:44:14 AM"
"C:\Users\nolan\PING\.venv\Lib\site-packages\qdrant_client\grpc\__pycache__","0.17","13","6/24/2026 10:44:14 AM"
"C:\Users\nolan\PING\.venv\Lib\site-packages\pydantic_core\__pycache__","0.16","2","6/24/2026 10:44:14 AM"
"C:\Users\nolan\PING\.venv\Lib\site-packages\httpcore\_async\__pycache__","0.14","8","6/24/2026 10:44:16 AM"
"C:\Users\nolan\PING\.venv\Lib\site-packages\httpcore\_sync\__pycache__","0.13","8","6/24/2026 10:44:16 AM"
"C:\Users\nolan\PING\.venv\Lib\site-packages\psycopg2\__pycache__","0.12","8","6/24/2026 12:57:12 PM"
"C:\Users\nolan\PING\.venv\Lib\site-packages\urllib3\util\__pycache__","0.12","13","6/24/2026 10:44:16 AM"
"C:\Users\nolan\PING\.venv\Lib\site-packages\numpy\linalg\__pycache__","0.12","2","6/24/2026 10:44:14 AM"
"C:\Users\nolan\PING\.venv\Lib\site-packages\grpc\__pycache__","0.12","7","6/24/2026 10:44:14 AM"
"C:\Users\nolan\PING\.venv\Lib\site-packages\h11\__pycache__","0.1","11","6/24/2026 10:44:16 AM"
"C:\Users\nolan\PING\.venv\Lib\site-packages\anyio\abc\__pycache__","0.07","8","6/24/2026 10:44:16 AM"
"C:\Users\nolan\PING\.venv\Lib\site-packages\numpy\__pycache__","0.07","10","6/24/2026 10:44:14 AM"
"C:\Users\nolan\PING\.venv\Lib\site-packages\idna\__pycache__","0.06","5","6/24/2026 10:44:15 AM"
"C:\Users\nolan\PING\.venv\Lib\site-packages\httpcore\__pycache__","0.06","8","6/24/2026 10:44:16 AM"
"C:\Users\nolan\PING\.venv\Lib\site-packages\anyio\streams\__pycache__","0.05","4","6/24/2026 10:44:16 AM"
"C:\Users\nolan\PING\.venv\Lib\site-packages\anyio\__pycache__","0.05","4","6/24/2026 10:44:16 AM"
"C:\Users\nolan\PING\.venv\Lib\site-packages\httpcore\_backends\__pycache__","0.05","7","6/24/2026 10:44:16 AM"
"C:\Users\nolan\PING\.venv\Lib\site-packages\numpy\_typing\__pycache__","0.05","11","6/24/2026 10:44:14 AM"
"C:\Users\nolan\PING\.venv\Lib\site-packages\hyperframe\__pycache__","0.05","4","6/24/2026 10:44:16 AM"
"C:\Users\nolan\PING\.venv\Lib\site-packages\httpx\_transports\__pycache__","0.04","6","6/24/2026 10:44:15 AM"
"C:\Users\nolan\PING\.venv\Lib\site-packages\typing_inspection\__pycache__","0.04","3","6/24/2026 10:44:14 AM"
"C:\Users\nolan\PING\.venv\Lib\site-packages\numpy\matrixlib\__pycache__","0.03","2","6/24/2026 10:44:14 AM"
"C:\Users\nolan\PING\.venv\Lib\site-packages\qdrant_client\http\__pycache__","0.03","3","6/24/2026 10:44:15 AM"
"C:\Users\nolan\PING\brainos\newsletter\__pycache__","0.03","4","6/20/2026 4:17:14 PM"
"C:\Users\nolan\PING\.venv\Lib\site-packages\qdrant_client\hybrid\__pycache__","0.02","3","6/24/2026 10:44:15 AM"
"C:\Users\nolan\PING\runtime\security\__pycache__","0.02","2","6/24/2026 12:44:09 PM"
"C:\Users\nolan\PING\.venv\Lib\site-packages\qdrant_client\uploader\__pycache__","0.02","4","6/24/2026 10:44:16 AM"
"C:\Users\nolan\PING\.venv\Lib\site-packages\pydantic\plugin\__pycache__","0.02","3","6/24/2026 10:44:15 AM"
"C:\Users\nolan\PING\.venv\Lib\site-packages\annotated_types\__pycache__","0.02","1","6/24/2026 10:44:15 AM"
"C:\Users\nolan\PING\brainos\rss\__pycache__","0.02","4","6/20/2026 4:17:17 PM"
"C:\Users\nolan\PING\.venv\Lib\site-packages\urllib3\http2\__pycache__","0.01","2","6/24/2026 10:44:16 AM"
"C:\Users\nolan\PING\runtime\constitutional\__pycache__","0.01","1","6/23/2026 5:17:16 PM"
"C:\Users\nolan\PING\.venv\Lib\site-packages\qdrant_client\migrate\__pycache__","0.01","2","6/24/2026 10:44:16 AM"
"C:\Users\nolan\PING\.venv\Lib\site-packages\qdrant_client\common\__pycache__","0.01","4","6/24/2026 10:44:16 AM"
"C:\Users\nolan\PING\.venv\Lib\site-packages\numpy\_utils\__pycache__","0.01","3","6/24/2026 10:44:14 AM"
"C:\Users\nolan\PING\.venv\Lib\site-packages\numpy\typing\__pycache__","0.01","1","6/24/2026 10:44:14 AM"
"C:\Users\nolan\PING\.venv\Lib\site-packages\win32\lib\__pycache__","0","1","6/24/2026 10:39:16 AM"
"C:\Users\nolan\.npm","N/A","0","NOT_FOUND"
"C:\Users\nolan\.cache\pip","N/A","0","NOT_FOUND"
"C:\Users\nolan\PING\.venv\Lib\site-packages\grpc\_cython\__pycache__","0","1","6/24/2026 10:44:14 AM"
"C:\Users\nolan\PING\backend\node_modules","N/A","0","NOT_FOUND"
"C:\Users\nolan\PING\.venv\Lib\site-packages\certifi\__pycache__","0","2","6/24/2026 10:44:16 AM"
"C:\Users\nolan\.local\share\pnpm","N/A","0","NOT_FOUND"
"C:\Users\nolan\.gradle","N/A","0","NOT_FOUND"
"C:\Users\nolan\.dotnet","N/A","0","NOT_FOUND"
"C:\Users\nolan\.m2","N/A","0","NOT_FOUND"
"C:\Users\nolan\.nuget","N/A","0","NOT_FOUND"
"C:\Users\nolan\.rustup","N/A","0","NOT_FOUND"
"C:\Users\nolan\.cargo","N/A","0","NOT_FOUND"
"C:\Users\nolan\PING\.venv\Lib\site-packages\qdrant_client\auth\__pycache__","0","2","6/24/2026 10:44:16 AM"
"C:\Users\nolan\PING\.venv\Lib\site-packages\qdrant_client\models\__pycache__","0","1","6/24/2026 10:44:16 AM"
